stat_id,stat_name,lon,lat,vs30
1,ADCS,171.747604,-43.902401,230.000000
2,AICS,171.624405,-42.768200,286.000000
3,AKSS,172.963501,-43.810902,265.000000
4,AKUS,174.770493,-36.853199,484.000000
5,AMBC,172.730896,-43.154701,231.000000
6,APPS,171.567703,-42.948898,282.000000
7,ARKS,174.944107,-41.242100,262.000000
8,ARPS,171.407898,-42.523998,253.000000
9,ASHS,172.595901,-43.274399,230.000000
10,AVIS,170.356995,-44.655201,500.000000
11,BCOF,167.469406,-44.794899,599.000000
12,BDCS,169.719406,-46.249100,348.000000
13,BENS,170.192993,-44.563000,500.000000
14,BFZ,176.246201,-40.679600,384.000000
15,BKZ,176.492493,-39.165699,486.000000
16,BMTS,174.925995,-41.191399,398.000000
17,BOWS,174.776306,-41.279202,267.000000
18,BSWZ,173.875702,-41.714901,599.000000
19,BTWS,173.128494,-41.389198,256.000000
20,BWHS,172.682205,-43.480400,199.000000
21,BWRS,173.905106,-41.439499,608.000000
22,CACS,172.529999,-43.483200,435.000000
23,CBGS,172.619904,-43.529301,197.000000
24,CCCC,172.647400,-43.538101,177.000000
25,CCPS,172.632294,-43.532200,182.000000
26,CECS,173.274902,-42.813499,231.000000
27,CHHC,172.627502,-43.535900,206.000000
28,CMHS,172.624207,-43.565601,205.000000
29,CMWZ,174.213806,-41.749001,301.000000
30,COLD,172.102600,-43.600498,253.000000
31,CPFS,176.220993,-40.898800,195.000000
32,CRLZ,172.623199,-43.574699,900.000000
33,CSBF,166.869293,-45.293098,473.000000
34,CSHS,171.723602,-43.226501,278.000000
35,CSTC,172.381302,-43.312302,284.000000
36,CUBS,174.774399,-41.295502,289.000000
37,CULC,172.802597,-42.759399,232.000000
38,CVZ,171.006195,-44.383202,608.000000
39,D04C,172.673203,-43.512001,188.000000
40,D06C,172.614197,-43.540199,176.000000
41,D07C,172.675705,-43.517300,186.000000
42,D08C,172.632706,-43.532398,181.000000
43,D09C,172.632599,-43.532299,181.000000
44,D10C,172.632706,-43.532398,181.000000
45,D13C,172.644897,-43.606499,444.000000
46,D14C,172.624695,-43.632500,733.000000
47,D15C,172.725601,-43.584702,764.000000
48,DALS,172.673203,-43.512001,188.000000
49,DAVS,174.954407,-41.205799,251.000000
50,DCDS,170.502197,-45.874298,429.000000
51,DCZ,167.153503,-45.464699,473.000000
52,DECF,166.972702,-45.202599,500.000000
53,DFHS,172.102203,-43.489700,518.000000
54,DGNS,170.513901,-45.862598,224.000000
55,DHSS,172.727203,-43.630299,366.000000
56,DKHS,170.492905,-45.902199,200.000000
57,DORC,172.093796,-43.896801,230.000000
58,DSLC,172.197906,-43.667500,230.000000
59,DSZ,171.804596,-41.744999,368.000000
60,DUNS,170.470596,-45.905201,518.000000
61,DUWZ,173.921600,-40.801701,494.000000
62,DVHS,176.101395,-40.201698,232.000000
63,EAZ,169.308304,-45.231098,608.000000
64,EBPS,174.900208,-41.289398,349.000000
65,ECLS,178.548203,-37.688801,499.000000
66,EDAS,176.832199,-37.977699,181.000000
67,EKS1,175.990997,-40.671299,494.000000
68,EKS2,175.806900,-40.743401,241.000000
69,EKS3,175.822403,-40.600498,240.000000
70,EKTS,175.708801,-40.649502,228.000000
71,EYRS,172.355392,-43.421398,231.000000
72,FAHS,175.572998,-40.213501,258.000000
73,FAIS,174.940094,-41.207401,380.000000
74,FDCS,170.828705,-44.098701,260.000000
75,FGPS,170.019806,-43.463200,271.000000
76,FJDS,170.184204,-43.389099,329.000000
77,FKPS,174.778793,-41.287899,400.000000
78,FOZ,169.815506,-43.532101,473.000000
79,FTPS,175.327393,-41.118698,233.000000
80,FXBS,175.225998,-40.461399,306.000000
81,GDLC,172.088806,-43.586201,457.000000
82,GHHS,178.017700,-38.641800,223.000000
83,GISS,178.022705,-38.666500,154.000000
84,GKBS,178.031906,-38.682201,396.000000
85,GLNS,168.406494,-44.864399,369.000000
86,GLWS,172.511002,-42.594200,293.000000
87,GMFS,171.204300,-42.457802,235.000000
88,GMTS,171.210403,-42.449200,256.000000
89,GODS,172.769302,-43.578400,586.000000
90,GORS,168.941696,-46.102699,260.000000
91,GOVS,172.635696,-43.652401,479.000000
92,GPSS,174.914703,-41.236599,287.000000
93,GRZ,175.457794,-36.250198,429.000000
94,GVZ,173.034805,-42.967400,484.000000
95,GWTS,177.921600,-38.625702,229.000000
96,HAFS,170.556107,-43.148899,269.000000
97,HALS,172.569504,-43.590900,183.000000
98,HAVS,173.784698,-41.272301,599.000000
99,HAZ,177.782593,-37.756100,486.000000
100,HBHS,175.295105,-37.785599,228.000000
101,HCDS,176.842896,-39.645802,200.000000
102,HDWS,169.044098,-43.882999,230.000000
103,HHSS,172.592804,-43.557499,179.000000
104,HIBS,175.035904,-41.139900,230.000000
105,HMCS,170.964005,-42.716900,303.000000
106,HNPS,176.880096,-39.671001,265.000000
107,HOCS,175.279404,-40.621601,231.000000
108,HORC,171.959900,-43.539600,531.000000
109,HPSC,172.702194,-43.501598,207.000000
110,HSES,172.830505,-42.523201,232.000000
111,HSSS,174.981506,-41.151901,482.000000
112,HUKS,174.568100,-39.260502,238.000000
113,HUNS,172.657196,-43.579399,614.000000
114,HVSC,172.709396,-43.579800,352.000000
115,HWHS,174.274200,-39.585098,212.000000
116,ICCS,168.346893,-46.411598,269.000000
117,IFPS,171.472794,-42.726700,256.000000
